Id,Model,Price,Age_08_04,KM,Fuel_Type,HP,Color
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,23,46986,Diesel,90,Blue
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,23,72937,Diesel,90,Silver
3,?TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,41711,Diesel,90,Blue
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,26,48000,Diesel,90,Black
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,30,38500,Diesel,90,Black
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,61000,Diesel,90,White
7,?TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,27,94612,Diesel,90,Grey
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,75889,Diesel,90,Grey
9,?TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,19700,Petrol,192,Red
10,?TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,23,71138,Diesel,69,Blue
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,31461,Petrol,192,Silver
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,43610,Petrol,192,Red
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,32189,Petrol,192,Red
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,23000,Petrol,192,Black
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,34131,Petrol,192,Grey
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,18739,Petrol,192,Grey
17,?TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,34000,Petrol,192,Grey
18,?TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,21716,Petrol,110,Blue
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,25563,Petrol,110,Grey
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,64359,Petrol,110,Grey
21,?TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,67660,Petrol,110,Blue
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,43905,Petrol,110,Grey
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,56349,Petrol,110,Black
24,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,32220,Petrol,110,Black
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,25813,Petrol,110,Grey
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,28450,Petrol,110,Blue
27,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,34545,Petrol,110,Blue
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,41415,Petrol,110,Black
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,44142,Petrol,110,Grey
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,11090,Petrol,110,Blue
31,?TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,9750,Petrol,97,Silver
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,35199,Petrol,97,Blue
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,29510,Petrol,97,Black
34,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,32692,Petrol,97,Grey
35,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,41000,Petrol,97,Grey
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,43000,Petrol,97,Grey
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,25000,Petrol,97,Grey
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10000,Petrol,97,Blue
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,25329,Petrol,97,Green
40,?TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,27500,Petrol,97,Blue
41,?TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,49059,Petrol,97,Blue
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,44068,Petrol,97,Red
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,46961,Petrol,97,Blue
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,110404,Diesel,90,Red
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,100250,Diesel,90,Red
46,?TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,84000,Diesel,90,Red
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,79375,Diesel,90,Grey
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,75048,Petrol,97,Blue
49,?TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,72215,Diesel,90,Grey
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,64982,Petrol,192,Grey
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,62636,Diesel,90,Grey
52,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,57086,Petrol,97,Grey
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,56000,Petrol,110,Blue
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,49866,Petrol,192,Green
55,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,49163,Petrol,110,Green
56,?TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,45725,Petrol,110,Black
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,43210,Petrol,97,Grey
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,43000,Petrol,97,Grey
59,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,39704,Petrol,110,Blue
60,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,38950,Petrol,110,Red
